,number_of_elements,range_atomic_mass,wtd_range_atomic_mass,wtd_mean_fie,wtd_entropy_fie,range_fie,wtd_range_fie,wtd_range_atomic_radius,mean_Density,mean_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,range_ThermalConductivity,wtd_range_Valence,critical_temp
0,4.0,122.90607,31.7949208571429,1010.26857142857,0.791487788469155,810.6,735.985714285714,42.9142857142857,4654.35725,6.9055,107.756645,61.0151885714286,7.06248773046785,399.97342,1.08571428571429,29.0
1,5.0,122.90607,36.161939,1010.61285714286,0.807078214938731,810.6,743.164285714286,50.5714285714286,5821.4858,7.7844,172.205316,61.3723314285714,16.0642278788044,429.97342,1.12857142857143,26.0
2,4.0,122.90607,35.741099,1010.82,0.773620193146673,810.6,743.164285714286,49.3142857142857,4654.35725,6.9055,107.756645,60.94376,7.06248773046785,399.97342,1.11428571428571,19.0
3,4.0,122.90607,33.7680099285714,1010.54428571429,0.783206660361291,810.6,739.575,46.1142857142857,4654.35725,6.9055,107.756645,60.9794742857143,7.06248773046785,399.97342,1.1,22.0
4,4.0,122.90607,27.8487427142857,1009.71714285714,0.805229640813357,810.6,728.807142857143,36.5142857142857,4654.35725,6.9055,107.756645,61.0866171428571,7.06248773046785,399.97342,1.05714285714286,23.0
5,4.0,122.90607,20.6874578571429,1008.61428571429,0.824742649703668,810.6,714.45,23.7142857142857,4654.35725,6.9055,107.756645,61.2294742857143,7.06248773046785,399.97342,1.0,23.0
6,4.0,122.90607,10.7656385714286,1005.85714285714,0.841871802066264,810.6,678.557142857143,15.4285714285714,4654.35725,6.9055,107.756645,61.5866171428571,7.06248773046785,399.97342,0.857142857142857,11.0
7,4.0,122.90607,36.451199,1011.48428571429,0.776332032161783,772.0,742.5,49.8,4434.35725,6.9055,112.006645,61.1866171428571,8.33981834610162,399.97342,1.11428571428571,33.0
8,4.0,122.90607,34.8331599285714,1011.54071428571,0.786865234305601,772.0,738.578571428571,46.8428571428571,4434.35725,6.9055,112.006645,61.34376,8.33981834610162,399.97342,1.1,36.0
9,4.0,122.90607,33.2151208571429,1011.59714285714,0.7959767720407,772.0,734.657142857143,43.8857142857143,4434.35725,6.9055,112.006645,61.5009028571429,8.33981834610162,399.97342,1.08571428571429,31.0
10,4.0,122.90607,29.9790427142857,1011.71,0.811136187493863,772.0,726.814285714286,37.9714285714286,4434.35725,6.9055,112.006645,61.8151885714286,8.33981834610162,399.97342,1.05714285714286,33.0
11,5.0,184.5906,27.8487427142857,1020.90285714286,0.896265618929428,810.6,728.807142857143,40.0285714285714,6430.2858,5.9824,87.865316,44.2994742857143,7.29426913845031,399.97342,1.05714285714286,26.0
12,5.0,122.90607,36.9324261428571,1010.71642857143,0.794064496705543,810.6,745.125,51.75,5821.4858,7.7844,172.205316,61.1580457142857,16.0642278788044,429.97342,1.13571428571429,27.0
